,sueldo_basico,categoria,ausencias,cantidad_hijos,sueldo
416,54200,B,0,2,57770
417,59200,B,2,1,61950
418,14400,A,0,0,15770
419,40600,C,0,0,43170
420,41300,A,1,2,44100
421,38100,B,0,0,40170
422,23100,A,0,3,26720
423,12300,B,0,0,14370
424,32700,A,1,0,34000
425,13900,B,1,0,15900
426,65200,C,2,1,68450
427,75600,A,2,1,77650
428,45200,B,1,1,47950
429,11700,A,2,3,15250
430,23600,C,0,3,28420
431,77700,A,0,0,79070
432,42600,B,2,3,46850
433,52600,B,2,3,56850
434,62700,A,0,1,64820
435,81500,A,0,3,85120
436,28200,B,0,0,30270
437,45600,A,2,3,49150
438,30800,A,0,1,32920
439,42600,C,0,2,46670
440,53600,B,0,3,57920
441,85400,A,2,2,88200
442,66600,C,1,3,71350
443,30700,A,1,1,32750
444,23400,C,0,0,25970
445,37000,A,1,3,40550
446,17600,C,2,0,20100
447,82800,C,0,1,86120
448,60200,C,0,2,64270
449,61500,A,0,3,65120
450,70000,A,0,0,71370
451,10700,C,1,0,13200
452,82200,B,2,0,84200
453,65700,C,2,0,68200
454,14800,B,1,3,19050
455,84000,C,2,2,88000
456,24300,C,1,1,27550
457,69100,A,0,2,71970
458,64900,A,0,2,67770
459,74000,C,0,2,78070
460,55000,B,1,1,57750
461,17800,B,1,3,22050
462,61600,A,2,2,64400
463,51600,A,1,0,52900
464,36600,C,2,0,39100
465,18900,B,0,0,20970
466,78500,C,0,1,81820
467,45100,A,0,2,47970
468,69500,C,0,1,72820
469,42800,A,2,0,44100
470,54300,B,1,0,56300
471,33100,A,0,1,35220
472,50600,A,1,2,53400
473,78800,C,1,1,82050
474,48700,C,2,1,51950
475,83900,B,0,0,85970
476,48500,C,1,1,51750
477,55800,A,1,2,58600
478,81100,C,1,3,85850
479,10100,C,2,1,13350
480,11000,C,0,0,13570
481,47700,A,1,1,49750
482,70500,B,1,1,73250
483,33300,C,1,0,35800
484,85900,C,0,2,89970
485,30900,B,1,3,35150
486,45000,A,0,2,47870
487,56100,C,1,3,60850
488,31000,A,1,2,33800
489,76400,C,0,2,80470
490,28700,A,0,1,30820
491,87800,C,1,2,91800
492,38700,A,2,3,42250
493,38800,B,1,1,41550
494,15600,B,1,3,19850
495,55700,C,0,3,60520
496,44800,A,2,2,47600
497,24800,C,2,1,28050
498,65100,B,1,1,67850
499,43600,B,2,1,46350
500,75300,B,2,1,78050
501,71700,C,1,1,74950
502,51600,A,2,3,55150
503,72200,B,0,0,74270
504,86100,A,2,2,88900
505,58000,B,0,1,60820
506,84300,B,1,3,88550
507,87400,A,1,1,89450
508,30600,B,0,3,34920
509,49900,C,0,0,52470
510,14100,C,1,3,18850
511,73200,B,0,0,75270
512,16900,B,0,2,20470
513,76200,A,1,1,78250
514,88800,C,1,2,92800
515,26700,B,0,1,29520
516,68300,C,0,0,70870
517,18100,B,1,0,20100
518,21800,B,2,3,26050
519,58400,C,2,0,60900
520,45700,A,1,0,47000
521,47600,C,0,3,52420
522,76300,B,1,3,80550
523,81000,C,2,3,85750
524,13800,B,2,2,17300
525,32100,B,2,3,36350
526,49800,C,2,2,53800
527,27100,A,1,1,29150
528,40200,A,1,3,43750
529,19500,B,0,3,23820
530,56600,B,2,2,60100
531,37800,B,1,0,39800
532,30800,B,0,1,33620
533,14300,B,2,2,17800
534,43400,B,2,3,47650
535,47400,B,2,0,49400
536,58600,C,0,3,63420
537,60800,B,2,1,63550
538,81800,A,2,2,84600
539,39600,C,2,0,42100
540,61800,C,0,1,65120
541,68700,B,0,1,71520
542,60400,B,0,1,63220
543,14600,A,1,0,15900
544,83200,A,0,2,86070
545,59500,A,0,1,61620
546,62200,C,2,2,66200
547,87400,B,1,3,91650
548,50200,C,2,1,53450
549,25600,B,0,1,28420
550,72100,B,1,0,74100
551,28900,C,0,0,31470
552,57800,C,0,0,60370
553,17100,C,2,0,19600
554,24600,B,1,2,28100
555,62700,C,2,2,66700
556,76100,C,0,2,80170
557,59900,A,2,0,61200
558,63100,B,2,2,66600
559,42200,C,1,0,44700
560,27400,A,1,1,29450
561,56200,C,1,1,59450
562,80100,A,2,3,83650
563,60400,C,0,0,62970
564,40100,C,2,3,44850
565,63000,A,0,2,65870
566,21600,B,2,3,25850
567,68200,B,1,0,70200
568,53500,A,2,0,54800
569,87900,A,2,1,89950
570,77800,B,1,3,82050
571,47800,C,1,0,50300
572,70600,A,0,2,73470
573,89200,B,0,0,91270
574,19200,C,1,1,22450
575,51900,C,1,3,56650
576,51900,C,2,1,55150
577,80500,A,1,1,82550
578,33900,C,2,0,36400
579,14900,A,1,3,18450
580,20500,A,0,0,21870
581,76100,B,2,3,80350
582,11000,C,1,1,14250
583,67400,C,0,1,70720
584,28600,A,0,1,30720
585,33600,B,2,3,37850
586,16200,C,1,1,19450
587,77900,A,2,0,79200
588,78400,C,2,0,80900
589,74900,A,0,3,78520
590,87600,C,1,3,92350
591,22400,B,1,3,26650
592,12700,A,0,3,16320
593,26100,B,2,0,28100
594,85400,C,0,0,87970
595,45400,C,1,0,47900
596,80600,A,2,0,81900
597,88300,A,1,1,90350
598,78300,B,0,2,81870
599,33900,B,2,3,38150
600,20700,B,0,1,23520
601,37000,B,1,2,40500
602,14700,A,0,3,18320
603,16200,A,2,1,18250
604,51500,C,1,2,55500
605,13300,C,1,3,18050
606,38100,C,1,3,42850
607,39900,B,2,1,42650
608,74800,A,1,2,77600
609,53100,B,2,3,57350
610,43100,A,1,0,44400
611,14300,C,1,0,16800
612,80200,C,1,2,84200
613,51800,C,1,1,55050
614,65600,A,2,1,67650
615,84200,B,2,3,88450
616,45200,C,1,0,47700
617,14700,B,2,3,18950
618,81400,A,1,2,84200
619,27500,B,0,0,29570
620,51100,B,2,1,53850
621,65800,C,1,3,70550
622,50900,C,0,3,55720
623,71800,B,2,2,75300
624,11100,A,2,3,14650
625,89500,B,0,1,92320
626,37400,A,1,0,38700
627,83700,C,1,1,86950
628,60200,C,2,1,63450
629,75200,C,1,2,79200
630,80600,B,1,2,84100
631,75900,B,1,0,77900
632,37500,A,0,2,40370
633,19100,C,1,1,22350
634,13500,B,0,3,17820
635,23800,C,2,3,28550
636,81100,C,0,3,85920
637,10500,B,1,2,14000
638,55000,B,1,3,59250
639,52700,C,1,3,57450
640,32500,A,0,2,35370
641,64100,C,1,2,68100
642,49700,C,1,0,52200
643,39200,B,0,3,43520
644,84700,B,0,2,88270
645,71000,B,1,0,73000
646,36200,A,1,2,39000
647,37000,A,1,2,39800
648,67500,C,0,0,70070
649,60500,C,2,3,65250
650,79400,A,0,1,81520
651,73100,A,2,0,74400
652,56600,B,2,1,59350
653,16300,A,0,1,18420
654,66000,C,2,0,68500
655,54400,B,2,0,56400
656,52100,B,1,2,55600
657,80100,C,2,2,84100
658,72600,C,2,3,77350
659,14800,C,0,1,18120
660,86800,A,1,0,88100
661,62500,A,2,0,63800
662,15500,C,1,3,20250
663,25400,A,0,0,26770
664,75900,A,1,1,77950
665,45100,A,2,2,47900
666,36000,B,1,3,40250
667,77200,B,1,2,80700
668,53200,B,2,0,55200
669,76900,C,2,1,80150
670,26200,A,2,0,27500
671,16300,B,0,3,20620
672,10200,B,1,3,14450
673,36500,A,1,1,38550
674,10500,A,0,2,13370
675,84400,A,2,2,87200
676,58800,B,1,0,60800
677,19800,C,1,1,23050
678,34100,B,1,1,36850
679,36900,A,2,1,38950
680,53000,A,2,0,54300
681,37100,A,0,3,40720
682,78100,B,2,3,82350
683,87400,B,1,0,89400
684,85800,C,2,3,90550
685,63100,A,2,3,66650
686,41500,A,2,3,45050
687,72300,A,0,1,74420
688,24300,A,2,1,26350
689,88800,A,1,2,91600
690,84200,B,0,3,88520
691,33400,B,1,3,37650
692,50000,A,0,1,52120
693,42800,C,0,2,46870
694,88000,C,2,1,91250
695,11100,A,1,3,14650
696,21500,B,1,3,25750
697,48100,B,0,1,50920
698,60700,B,1,2,64200
699,73900,A,0,0,75270
700,36000,B,1,3,40250
701,76800,B,1,0,78800
702,27400,B,2,0,29400
703,42100,B,2,1,44850
704,56300,C,0,2,60370
705,19000,C,2,2,23000
706,24100,B,2,2,27600
707,40600,C,2,3,45350
708,40400,A,0,0,41770
709,78700,C,1,2,82700
710,68200,C,0,1,71520
711,77700,A,1,0,79000
712,64100,B,1,3,68350
713,74900,B,1,2,78400
714,67000,A,1,2,69800
715,12400,A,1,2,15200
716,23300,B,2,1,26050
717,47400,A,2,0,48700
718,11300,A,2,0,12600
719,72800,B,2,3,77050
720,24800,C,2,1,28050
721,65100,A,0,2,67970
722,61400,A,1,2,64200
723,87800,A,1,1,89850
724,79700,B,1,2,83200
725,80700,B,1,0,82700
726,87300,C,2,3,92050
727,39400,C,0,2,43470
728,54300,B,2,2,57800
729,88500,C,0,1,91820
730,75600,C,2,2,79600
731,65900,B,2,3,70150
732,56500,B,0,1,59320
733,86500,A,0,0,87870
734,46800,A,1,2,49600
735,15400,C,2,3,20150
736,47200,C,2,1,50450
737,56400,C,0,2,60470
738,86700,C,1,1,89950
739,87000,C,1,1,90250
740,29100,C,2,3,33850
741,80600,A,0,1,82720
742,77600,B,1,1,80350
743,59300,A,1,1,61350
744,55900,C,2,1,59150
745,54700,C,2,0,57200
746,25500,B,0,0,27570
747,27500,C,2,2,31500
748,10900,B,1,2,14400
749,24700,B,0,0,26770
750,58200,C,2,2,62200
751,27300,B,1,3,31550
752,26100,A,2,0,27400
753,12400,A,1,2,15200
754,45900,A,2,2,48700
755,27900,A,0,2,30770
756,76900,B,0,2,80470
757,62900,A,0,0,64270
758,22100,C,0,2,26170
759,23900,C,0,2,27970
760,36900,B,0,1,39720
761,63100,C,1,3,67850
762,20000,C,1,0,22500
763,87900,B,0,3,92220
764,46900,A,1,2,49700
765,70500,B,2,3,74750
766,79700,C,0,2,83770
767,62900,B,0,3,67220
768,36100,C,0,1,39420
769,12500,C,2,1,15750
770,87200,B,2,1,89950
771,73000,A,0,3,76620
772,60800,A,0,2,63670
773,48000,C,1,3,52750
774,25200,C,2,2,29200
775,46800,B,0,0,48870
776,34600,C,2,3,39350
777,21200,A,2,1,23250
778,74000,C,0,3,78820
779,15900,C,2,1,19150
780,22000,C,0,2,26070
781,62300,A,1,2,65100
782,48000,C,1,0,50500
783,72600,B,1,2,76100
784,79900,C,2,2,83900
785,46800,C,2,1,50050
786,84700,A,2,0,86000
787,39500,B,0,1,42320
788,87000,B,0,0,89070
789,18600,B,2,2,22100
790,78300,B,2,1,81050
791,54700,A,1,3,58250
792,10300,C,0,3,15120
793,70800,C,1,0,73300
794,67900,B,0,2,71470
795,12400,B,1,0,14400
796,86600,A,2,1,88650
797,16200,A,2,0,17500
798,83400,B,2,1,86150
799,29700,C,1,2,33700
800,87700,B,1,2,91200
801,48400,A,2,3,51950
802,11600,A,0,2,14470
803,19700,A,1,3,23250
804,21200,C,1,2,25200
805,39900,A,0,3,43520
806,29300,C,2,0,31800
807,23100,A,1,2,25900
808,68200,B,0,0,70270
809,36700,B,2,3,40950
810,45000,C,2,1,48250
811,31600,C,1,3,36350
812,61000,A,0,3,64620
813,61500,C,1,1,64750
814,45000,B,1,1,47750
815,88700,B,1,2,92200
816,19400,B,2,3,23650
817,35700,B,1,3,39950
818,53800,B,0,2,57370
819,57500,C,2,2,61500
820,38200,A,1,3,41750
821,23700,A,1,2,26500
822,70400,C,0,2,74470
823,56900,A,2,3,60450
824,65900,B,2,2,69400
825,77600,A,2,2,80400
826,87900,A,2,2,90700
827,64400,C,1,2,68400
828,71100,A,1,2,73900
829,57700,B,0,3,62020
830,63200,A,0,1,65320
831,19200,A,0,0,20570
832,53100,B,0,0,55170
833,17000,A,1,3,20550
834,71700,B,2,3,75950
835,36100,B,2,0,38100
836,29400,A,0,1,31520
837,37800,A,0,1,39920
838,55900,B,2,1,58650
839,42500,A,1,1,44550
840,57800,C,2,1,61050
841,42100,A,2,3,45650
842,88600,B,0,3,92920
843,16100,B,1,2,19600
844,44700,B,2,2,48200
845,50800,C,2,3,55550
846,65400,B,2,1,68150
847,49400,A,2,1,51450
848,15300,B,2,1,18050
849,15700,C,2,0,18200
850,71200,C,2,2,75200
851,22800,B,2,0,24800
852,16200,B,1,3,20450
853,72300,C,1,1,75550
854,33600,C,2,3,38350
855,75100,C,1,2,79100
856,37500,C,0,2,41570
857,32700,B,1,0,34700
858,38000,C,0,0,40570
859,57600,A,1,1,59650
860,83100,A,1,1,85150
861,66600,C,0,0,69170
862,89700,C,1,1,92950
863,63700,B,1,3,67950
864,88500,C,2,3,93250
865,34200,A,1,1,36250
866,28500,C,0,2,32570
867,16200,A,0,1,18320
868,52700,C,2,3,57450
869,29100,B,1,0,31100
870,44200,C,1,2,48200
871,20100,C,2,1,23350
872,82900,B,1,0,84900
873,72400,C,2,3,77150
874,38600,A,1,2,41400
875,64900,B,1,2,68400
876,15200,A,0,1,17320
877,69100,A,1,1,71150
878,43700,B,0,1,46520
879,20100,B,0,1,22920
880,36400,A,1,0,37700
881,53300,C,2,0,55800
882,64100,B,2,1,66850
883,39900,A,2,0,41200
884,42000,C,2,3,46750
885,22500,A,1,1,24550
886,34000,C,0,3,38820
887,18400,A,2,2,21200
888,59100,C,1,1,62350
889,77400,A,2,1,79450
890,43700,C,2,0,46200
891,52900,C,2,2,56900
892,40800,C,0,3,45620
893,64200,C,2,1,67450
894,53700,C,2,2,57700
895,28500,A,2,1,30550
896,52400,C,2,3,57150
897,26000,C,1,2,30000
898,10900,B,2,0,12900
899,51400,C,2,1,54650
900,35000,A,2,2,37800
901,40200,B,0,2,43770
902,13800,B,2,0,15800
903,55100,A,1,3,58650
904,53700,A,0,2,56570
905,66900,A,1,2,69700
906,35800,C,1,0,38300
907,12600,C,1,1,15850
908,70800,A,0,2,73670
909,53200,C,1,0,55700
910,85000,A,1,1,87050
911,26100,B,2,2,29600
912,64400,A,1,0,65700
913,64000,A,1,1,66050
914,79900,B,2,3,84150
915,14800,A,0,1,16920
916,42200,B,0,0,44270
917,81000,C,2,3,85750
918,69500,B,1,3,73750
919,71200,B,0,2,74770
920,48000,A,1,1,50050
921,79400,A,2,2,82200
922,89800,C,1,1,93050
923,36100,B,1,1,38850
924,29300,C,2,0,31800
925,63000,A,1,3,66550
926,86000,A,0,3,89620
927,30200,A,2,2,33000
928,58100,A,0,0,59470
929,21000,C,1,0,23500
930,49400,B,2,3,53650
931,10400,A,0,1,12520
932,76500,B,0,3,80820
933,10800,A,2,0,12100
934,88900,B,1,2,92400
935,64400,A,2,3,67950
936,32500,C,2,0,35000
937,21200,A,2,0,22500
938,62200,C,2,0,64700
939,32400,A,2,3,35950
940,70100,B,2,1,72850
941,12000,C,2,2,16000
942,84100,A,0,0,85470
943,76000,C,1,1,79250
944,16000,B,1,0,18000
945,43800,A,2,1,45850
946,35400,A,1,2,38200
947,75700,B,0,1,78520
948,37600,C,2,3,42350
949,18800,C,0,3,23620
950,60300,C,0,1,63620
951,78800,A,0,3,82420
952,41300,C,0,0,43870
953,23500,C,0,0,26070
954,32300,B,2,3,36550
955,30000,B,0,3,34320
956,68400,B,2,2,71900
957,71000,A,0,3,74620
958,44400,A,2,3,47950
959,15000,C,1,1,18250
960,39100,C,1,1,42350
961,14900,B,0,0,16970
962,24900,C,1,0,27400
963,14000,C,2,0,16500
964,25200,A,2,2,28000
965,40300,C,0,3,45120
966,34400,C,1,3,39150
967,85500,C,2,3,90250
968,21400,C,0,2,25470
969,34000,C,2,1,37250
970,36900,A,2,2,39700
971,35500,B,0,2,39070
972,11400,A,1,3,14950
973,22700,C,0,3,27520
974,72200,B,2,1,74950
975,69200,B,0,0,71270
976,23100,C,2,2,27100
977,42700,A,2,1,44750
978,76400,A,1,0,77700
979,21000,A,2,2,23800
980,67000,C,1,0,69500
981,56400,B,2,1,59150
982,10100,A,2,3,13650
983,27000,C,0,2,31070
984,42900,B,1,3,47150
985,27800,A,2,3,31350
986,76700,C,2,3,81450
987,58100,B,0,0,60170
988,43900,C,1,3,48650
989,69300,C,0,3,74120
990,76200,B,2,0,78200
991,52900,B,1,3,57150
992,73300,C,0,0,75870
993,74600,B,2,1,77350
994,88700,B,2,2,92200
